time_s,conversion
0.1,0.064508066
0.2,0.033595586
0.3,0.042150749
0.4,0.04059887
0.5,0.091954353
0.6,0.054866075
0.7,0.052722789
0.8,0.10892738
0.9,0.050830676
1,0.078423359
1.1,0.11595775
1.2,0.067340692
1.3,0.082726946
1.4,0.11358611
1.5,0.085638806
1.6,0.080504463
1.7,0.14810968
1.8,0.13682066
1.9,0.087645217
2,0.088542458
2.1,0.12346987
2.2,0.13292961
2.3,0.14578955
2.4,0.15423758
2.5,0.16786657
2.6,0.13401293
2.7,0.12819348
2.8,0.12390764
2.9,0.12723953
3,0.11613815
3.1,0.16420517
3.2,0.14395444
3.3,0.12822777
3.4,0.11619135
3.5,0.12030182
3.6,0.14776251
3.7,0.12220505
3.8,0.13287028
3.9,0.14268046
4,0.18045199
4.1,0.12917195
4.2,0.15019847
4.3,0.18657128
4.4,0.15531299
4.5,0.13804473
4.6,0.14225636
4.7,0.15428255
4.8,0.20504211
4.9,0.15214434
5,0.14705506
5.1,0.21024839
5.2,0.18701348
5.3,0.17720935
5.4,0.16578917
5.5,0.16093395
5.6,0.16094397
5.7,0.16183859
5.8,0.16291303
5.9,0.17705535
6,0.17564101
6.1,0.21989309
6.2,0.18080461
6.3,0.17499093
6.4,0.17409844
6.5,0.1751738
6.6,0.17889613
6.7,0.19620282
6.8,0.2280653
6.9,0.19269893
7,0.18447959
7.1,0.18774211
7.2,0.21191066
7.3,0.19350853
7.4,0.19197344
7.5,0.19578032
7.6,0.20187407
7.7,0.22652809
7.8,0.20015067
7.9,0.2030869
8,0.25111564
8.1,0.24789699
8.2,0.24132145
8.3,0.20465277
8.4,0.22530551
8.5,0.21178228
8.6,0.21470704
8.7,0.24212034
8.8,0.23169349
8.9,0.21783594
9,0.21422897
9.1,0.22747656
9.2,0.27078315
9.3,0.2365724
9.4,0.24254506
9.5,0.26953165
9.6,0.23636114
9.7,0.22666303
9.8,0.23231735
9.9,0.24612881
10,0.24251526
10.1,0.23821744
10.2,0.23225814
10.3,0.23312386
10.4,0.24449951
10.5,0.27760669
10.6,0.28278676
10.7,0.25170331
10.8,0.23993394
10.9,0.28461208
11,0.27543487
11.1,0.2517285
11.2,0.24672499
11.3,0.25242562
11.4,0.27768484
11.5,0.25493945
11.6,0.26464824
11.7,0.27181467
11.8,0.27993492
11.9,0.25638469
12,0.25949244
12.1,0.2599117
12.2,0.26854003
12.3,0.30664795
12.4,0.29991547
12.5,0.27566114
12.6,0.26562009
12.7,0.26399253
12.8,0.27558126
12.9,0.31224423
13,0.30828161
13.1,0.2854824
13.2,0.26999187
