time_s,omega_cmd_rad_s
0.000000,41.887902
4.975000,41.887902
5.025000,0.000000
9.975000,0.000000
10.025000,41.887902
14.975000,41.887902
15.025000,0.000000
19.975000,0.000000
20.025000,41.887902
24.975000,41.887902
25.025000,0.000000
29.975000,0.000000
30.025000,41.887902
34.975000,41.887902
35.025000,0.000000
39.975000,0.000000
40.025000,41.887902
44.975000,41.887902
45.025000,0.000000
49.975000,0.000000
50.025000,41.887902
54.975000,41.887902
55.025000,0.000000
61.000000,0.000000
