time_s,omega_cmd_rad_s
0.000000,29.919930
6.975000,29.919930
7.025000,0.000000
9.975000,0.000000
10.025000,29.919930
16.975000,29.919930
17.025000,0.000000
19.975000,0.000000
20.025000,29.919930
26.975000,29.919930
27.025000,0.000000
29.975000,0.000000
30.025000,29.919930
36.975000,29.919930
37.025000,0.000000
39.975000,0.000000
40.025000,29.919930
46.975000,29.919930
47.025000,0.000000
49.975000,0.000000
50.025000,29.919930
56.975000,29.919930
57.025000,0.000000
61.000000,0.000000
