time_s,conversion,wallFlux
0.00121359,0.34268096,8.33523e-09
0.0026008,0.35269959,8.34774e-09
0.00358734,0.36348488,8.37016e-09
0.00438832,0.37148259,8.39299e-09
0.00510304,0.37469979,8.41111e-09
0.0057906,0.37286608,8.42229e-09
0.0064711,0.36699171,8.4258e-09
0.00717774,0.35899583,8.42264e-09
0.0079632,0.35065071,8.41394e-09
0.0088411,0.34354054,8.40079e-09
0.00983326,0.33833702,8.38402e-09
0.0109701,0.33544988,8.36457e-09
0.012287,0.33574517,8.3455e-09
0.0137836,0.34198457,8.33706e-09
0.0152533,0.3585121,8.36019e-09
0.0159779,0.36881428,8.38192e-09
0.0167449,0.37626951,8.40564e-09
0.0174193,0.37709234,8.4212e-09
0.0180988,0.37252416,8.42898e-09
0.0187831,0.36441089,8.42881e-09
0.0195253,0.35502403,8.42231e-09
0.0203534,0.34645302,8.41087e-09
0.0212855,0.33990743,8.39544e-09
0.0223482,0.33568318,8.37681e-09
0.0235779,0.33399983,8.35648e-09
0.0249869,0.33639503,8.33958e-09
0.0265749,0.34817394,8.34302e-09
0.0275591,0.3623235,8.36354e-09
0.0283284,0.37320433,8.38598e-09
0.0290471,0.37877122,8.40602e-09
0.0297285,0.37796124,8.41921e-09
0.0304094,0.37195668,8.42474e-09
0.0311161,0.36273344,8.42258e-09
0.0319013,0.35275287,8.41409e-09
0.032779,0.34435341,8.40081e-09
0.033771,0.33853859,8.38398e-09
0.0349077,0.33561701,8.36465e-09
0.0362226,0.33607665,8.34582e-09
0.0377168,0.34258545,8.3378e-09
0.0391445,0.35906236,8.3602e-09
0.0398735,0.36959954,8.38164e-09
0.0406325,0.37706896,8.4047e-09
0.0413048,0.37782367,8.42013e-09
0.0419814,0.37303583,8.4279e-09
0.0426652,0.36458733,8.42787e-09
0.0434102,0.35482396,8.42143e-09
0.0442413,0.34601769,8.40998e-09
0.0451774,0.3393826,8.3946e-09
0.0462454,0.33518572,8.3761e-09
0.0474825,0.33363908,8.35604e-09
0.0488936,0.33607791,8.34026e-09
0.0504788,0.34752164,8.34591e-09
0.0514587,0.3608305,8.36837e-09
0.0522286,0.37099101,8.39191e-09
0.0529466,0.37606293,8.41205e-09
0.0536279,0.37520579,8.42493e-09
0.0543093,0.36956595,8.43005e-09
0.0550166,0.36114888,8.42808e-09
0.0558028,0.3520087,8.42034e-09
0.0566819,0.34408338,8.40808e-09
0.0576759,0.33828994,8.39227e-09
0.058814,0.33491733,8.3741e-09
0.0601194,0.33469896,8.35666e-09
0.0615903,0.34044853,8.34941e-09
0.0630452,0.35691535,8.37175e-09
0.0637749,0.36781669,8.39315e-09
0.064536,0.37584639,8.41672e-09
0.0652081,0.37713059,8.43276e-09
0.0658845,0.37285991,8.44135e-09
0.0665668,0.36484037,8.4421e-09
0.0673088,0.35535529,8.43654e-09
0.0681364,0.34661129,8.42603e-09
