time_s,omega_cmd_rad_s
0.000000,13.089969
1.975000,13.089969
2.025000,0.000000
2.475000,0.000000
2.525000,13.089969
4.475000,13.089969
4.525000,0.000000
4.975000,0.000000
5.025000,13.089969
6.975000,13.089969
7.025000,0.000000
7.475000,0.000000
7.525000,13.089969
9.475000,13.089969
9.525000,0.000000
9.975000,0.000000
10.025000,13.089969
11.975000,13.089969
12.025000,0.000000
12.475000,0.000000
12.525000,13.089969
14.475000,13.089969
14.525000,0.000000
14.975000,0.000000
15.025000,13.089969
16.975000,13.089969
17.025000,0.000000
17.475000,0.000000
17.525000,13.089969
19.475000,13.089969
19.525000,0.000000
19.975000,0.000000
20.025000,13.089969
21.975000,13.089969
22.025000,0.000000
22.475000,0.000000
22.525000,13.089969
24.475000,13.089969
24.525000,0.000000
24.975000,0.000000
25.025000,13.089969
26.975000,13.089969
27.025000,0.000000
27.475000,0.000000
27.525000,13.089969
29.475000,13.089969
29.525000,0.000000
29.975000,0.000000
30.025000,13.089969
31.975000,13.089969
32.025000,0.000000
32.475000,0.000000
32.525000,13.089969
34.475000,13.089969
34.525000,0.000000
34.975000,0.000000
35.025000,13.089969
36.975000,13.089969
37.025000,0.000000
37.475000,0.000000
37.525000,13.089969
39.475000,13.089969
39.525000,0.000000
39.975000,0.000000
40.025000,13.089969
41.975000,13.089969
42.025000,0.000000
42.475000,0.000000
42.525000,13.089969
44.475000,13.089969
44.525000,0.000000
44.975000,0.000000
45.025000,13.089969
46.975000,13.089969
47.025000,0.000000
47.475000,0.000000
47.525000,13.089969
49.475000,13.089969
49.525000,0.000000
49.975000,0.000000
50.025000,13.089969
51.975000,13.089969
52.025000,0.000000
52.475000,0.000000
52.525000,13.089969
54.475000,13.089969
54.525000,0.000000
54.975000,0.000000
55.025000,13.089969
56.975000,13.089969
57.025000,0.000000
57.475000,0.000000
57.525000,13.089969
59.475000,13.089969
59.525000,0.000000
61.000000,0.000000
